Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,X10,CIK
JHG,Janus Henderson Group plc,35.43,7100389469.34,n/a,2017,Finance,Investment Managers,https://www.nasdaq.com/symbol/jhg,NA,1274173
JOF,Japan Smaller Capitalization Fund Inc,12.0801,342276260.8293,n/a,1990,n/a,n/a,https://www.nasdaq.com/symbol/jof,NA,NA
JBGS,JBG SMITH Properties,32.82,3871352251.74,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/jbgs,NA,1689796
JELD,"JELD-WEN Holding, Inc.",37.55,3958301069.65,n/a,2017,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/jeld,NA,1674335
JCAP,"Jernigan Capital, Inc.",17.55,250473020.85,n/a,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/jcap,NA,NA
JCAP^B,"Jernigan Capital, Inc.",24.2036,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jcap^b,NA,NA
JT,Jianpu Technology Inc.,7.26,3007755201,n/a,2017,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/jt,NA,1713923
JKS,JinkoSolar Holding Company Limited,18.97,617407446.46,n/a,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/jks,NA,1481513
JMP,JMP Group LLC,5.47,117390493.95,n/a,2007,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmp,NA,1302350
JMPB,JMP Group LLC,25.4891,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmpb,NA,NA
JMPD,JMP Group LLC,24.3,0,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmpd,NA,NA
JBT,John Bean Technologies Corporation,118.85,3751827087.5,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/jbt,NA,1433660
BTO,John Hancock Financial Opportunities Fund,39.92,743945527.2,n/a,1994,n/a,n/a,https://www.nasdaq.com/symbol/bto,NA,NA
HEQ,John Hancock Hedged Equity & Income Fund,16.8684,205873238.5596,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/heq,NA,NA
JHS,John Hancock Income Securities Trust,14.44,168176687.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jhs,NA,NA
JHI,John Hancock Investors Trust,17,148019425,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jhi,NA,NA
HPF,John Hancock Pfd Income Fund II,19.72,419396993.12,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/hpf,NA,NA
HPI,John Hancock Preferred Income Fund,20.01,520325112.54,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/hpi,NA,NA
HPS,John Hancock Preferred Income Fund III,17.19,542808372.15,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/hps,NA,NA
PDT,John Hancock Premium Dividend Fund,15.2,734122304,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pdt,NA,NA
HTD,John Hancock Tax Advantaged Dividend Income Fund,22.21,785899983.81,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/htd,NA,NA
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,9.66,106479243.36,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hty,NA,NA
JW.A,"John Wiley & Sons, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jw.a,NA,NA
JW.B,"John Wiley & Sons, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jw.b,NA,NA
JNJ,Johnson & Johnson,133.15,357710144657.5,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jnj,NA,200406
JCI,Johnson Controls International plc,38.42,35581645660,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jci,NA,833444
JONE,"Jones Energy, Inc.",1.01,99053293.68,n/a,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/jone,NA,1573166
JLL,Jones Lang LaSalle Incorporated,158.23,7179499063.91,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/jll,NA,1037976
JMEI,Jumei International Holding Limited,2.88,431154103.68,n/a,2014,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jmei,NA,1597680
JNPR,"Juniper Networks, Inc.",26.35,961775e4,n/a,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/jnpr,NA,1043604
JP,Jupai Holdings Limited,19.47,628623684.48,n/a,2015,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jp,NA,1616291
JE,"Just Energy Group, Inc.",5.01,735970723.44,n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/je,NA,1538789
JE^A,"Just Energy Group, Inc.",22.9,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/je^a,NA,NA
LRN,K12 Inc,15.3,633647388.6,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lrn,NA,1157408
KAI,Kadant Inc,96.8,1065508672.8,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kai,NA,886346
KDMN,"Kadmon Holdings, Inc.",3.63,285475204.41,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kdmn,NA,1557142
KAMN,Kaman Corporation,62.46,1737335705.58,n/a,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/kamn,NA,54381
KSU,Kansas City Southern,109.01,11233873372.04,n/a,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu,NA,54480
KSU^,Kansas City Southern,26.83,0,n/a,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu^,NA,54480
KS,KapStone Paper and Packaging Corporation,34.53,3354200692.2,n/a,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/ks,NA,1325281
KAR,"KAR Auction Services, Inc",52.02,7036480254.06,n/a,2009,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/kar,NA,1395942
KED,Kayne Anderson Energy Development Company,17.32,186350712.28,n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/ked,NA,1363890
KYE,"Kayne Anderson Energy Total Return Fund, Inc.",10.12,371086535.6,n/a,2005,n/a,n/a,https://www.nasdaq.com/symbol/kye,NA,NA
KMF,"Kayne Anderson Midstream Energy Fund, Inc",13.9099,306493101.283,n/a,2010,n/a,n/a,https://www.nasdaq.com/symbol/kmf,NA,NA
KYN,Kayne Anderson MLP Investment Company,18.1,2073820441.5,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/kyn,NA,1293613
